Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A, Conergy E 220P,220,"36,51","8,32","28,33","7,71"
N/A, Conergy PowerPlus 245P,245,"36,89","8,71","29,81","8,29"
N/A, Conergy PowerPlus 245P,245,"36,78","8,68","30,12","8,2"
N/A, Conergy PowerPlus 250M,250,"38,29","8,54","31,45","8,04"
N/A, Conergy PowerPlus 250P,250,"37,12","8,76","30,38","8,29"
N/A, Conergy PowerPlus 250P,250,"37,12","8,81","30,01","8,4"
N/A, Conergy PowerPlus 255M,255,"38,43","8,58","31,71","8,11"
N/A, Conergy PowerPlus 255P,255,"37,45","8,85","30,64","8,39"
N/A, Conergy PowerPlus 260P,260,"37,78","8,93","30,9","8,48"
N/A, Conergy S 170M,170,"44,4","5,15","35,6","4,8"
N/A, Conergy S 175M,175,"44,7","5,23","35,8","4,9"
N/A, Conergy S 175MU,175,"44,2","5,2","35,2","4,95"
N/A, Conergy S 190P,190,33,"7,89",26,"7,31"
N/A, Conergy S 200P,200,"33,4","8,12","26,2","7,63"
N/A, ECO-290P-60,290,"38,4","9,6","31,85","9,11"
N/A,# 893 TGM 500 - 24 (72),13,36,"0,5","33,1","0,4"
N/A,# 894 TGM 780 - 24 V (72),"22,58",36,"0,75","33,7","0,67"
N/A,（delist）ZXM6-380/M,380,"48,6","10,03","39,9","9,53"
N/A,(Q-SUN SOLAR) N type qrystal Black frame white back glass module 435W( material warranty 25 year）,435,"40,02","13,58","33,14","13,13"
N/A,*Vitovolt 200,160,"43,3","4,82",36,"4,46"
N/A,*Vitovolt 200 KA2,175,"29,2","8,09","23,6","7,42"
N/A,*Vitovolt 200 RA2,165,"43,8","5,18",36,"4,58"
N/A,*Vitovolt 200 RB2,170,44,"5,22",36,"4,71"
N/A,*Vitovolt 300,320,"88,8","4,85","70,5","4,53"
N/A,*Vitovolt 300 neu,265,"72,4","4,96","58,7","4,52"
N/A,*Vitovolt 300 RB3,260,"70,9","4,91","57,1","4,55"
N/A,*Vitovolt 300 RC3,250,"70,4","4,78","57,1","4,37"
N/A,*Vitovolt 300 RD3,268,"71,4",5,"57,2","4,69"
N/A,_200mono,200,"45,5","5,81","36,6","5,47"
N/A,_250Wnew,250,"37,25","8,78","30,74","8,17"
N/A,_ECO-310M-60,310,"40,4","9,91","33,1","9,37"
N/A,1 STH-320,320,"48,4","8,7",40,8
N/A,1 STH-325,325,49,"8,7","40,6",8
N/A,1 STH-330,330,"49,3","8,8",41,"8,05"
N/A,1 STH-335,335,50,"8,8","41,5","8,06"
N/A,1 STH-340,340,"50,45","8,85",42,"8,09"
N/A,1 STH-345,345,"50,96","8,89","42,49","8,11"
N/A,1 STH-350,350,"51,47","8,93","42,98","8,13"
N/A,1% (Transmittance Rate),57,"91,8","1,17","67,4","0,85"
N/A,1/4 Size MBTF 100_ 96W,96,"93,6","1,59","72,8","1,32"
N/A,1/4 Size MBTF 100_92W,92,"92,4","1,57",71,"1,3"
