"ID_GUID";"Nome_Modelo";"Fabricante";"Potencia_Nominal_W";"Tensao_Bateria_V";"Capacidade_Bateria_Ah";"Tensao_AC_V";"Descricao_Detalhada"
"e131188c-2847-4ed8-b4ca-908a334a4040";"2300ES-AC";"N/A";;;;;"Batteriewechselrichter / battery inverter"
"e2f13f0d-86a8-4b1d-bac1-f114873e88ea";"3000ES-AC";"N/A";;;;;"Batteriewechselrichter / battery inverter"
"f17d3639-5b8d-46b7-a70d-c4be673d9c6d";"4500ES-AC";"N/A";;;;;"Batteriewechselrichter / battery inverter"
"997a8fda-c722-4117-9ded-7a29bc0e4c01";"5000 W - 3p";"N/A";;;;;""
"60a1b417-00ad-4f50-b337-51af747cabab";"AE-HBD-10KTL-S1";"N/A";;;;;"Hybrid inverter/10KW/400V/50Hz/0.97/420V/850V/IP65"
"56bd270f-8cc7-4faa-b2f6-a39cc75e55cc";"AE-HBD-3KTL-S1";"N/A";;;;;"Hybrid inverter/3.68KW/230V/50Hz/0.97/80V/560V/IP65"
"903f3cf5-e980-48c4-b44c-c6ab78bdcb32";"AE-HBD-5KTL-S1";"N/A";;;;;"Hybrid inverter/5KW/230V/50Hz/0.97/80V/560V/IP65"
"1b3d3f9e-bc02-4ad8-8e1b-379a3bb53423";"AE-HBD-6KTL-S1";"N/A";;;;;"Hybrid inverter/6KW/230V/50Hz/0.97/80V/560V/IP65"
"5288577f-3ce9-4764-9963-48e515ae5968";"AE-HBD-8KTL-S1";"N/A";;;;;"Hybrid inverter/8KW/400V/50Hz/0.97/420V/850V/IP65"
"7c39fb6d-f8ce-4d6b-a0dd-f226aeb2b426";"AHS-5-LV";"N/A";;;;;"This model only supports off grid+PV systems"
"f732969f-87a3-48ec-a9d0-754264f01a1c";"AHS-6.3";"N/A";;;;;"www.apsystems.com"
"20416c60-01e0-4c4e-bd18-06aa239da594";"All in One 2";"N/A";;;;;"Soltaro All in One 2 "
"f15ed5bf-8b4e-43db-9c7b-902fb4ebb688";"Atlas03";"N/A";;;;;"DraftATLAS 03 is an industrial and commercial integrated energy storage machine including battery box, control box, PCS, air conditioning system, BMS, EMS, fire protection system, etc."
"9a1562b0-f533-4931-b941-abbe97c3fa5f";"BluE-S-3680D";"N/A";;;;;"All- in-one Battery Energy Storage System (BluE-Pack-5.1/10.2/15.3/20.4).Quick Installation."
"07a4a300-777b-4cf1-bd64-332af5c41843";"BluE-S-5000D";"N/A";;;;;"All- in-one Battery Energy Storage System (BluE-Pack-5.1/10.2/15.3/20.4).Quick Installation."
"bfaee4aa-7ead-4fdb-93a3-c4d755eac496";"BW-INV-SPB5K";"N/A";;;;;""
"5105f481-de2c-4c66-b02c-72f0cbbfb730";"Conext SW 4048 230";"N/A";;;;;"Battery Inverter charger"
"8194d487-1a85-477f-a3c1-6cde8eef5367";"Conext XW Pro 230V";"N/A";;;;;"Battery Inverter charger"
"32a1c93d-35f1-4be6-9104-df28325d2ccf";"Conext XW+ 8548E";"N/A";;;;;"Battery Inverter charger"
"91887174-7db4-48f5-a84e-f43fb4db1348";"E10KT";"N/A";;;;;""
"7160e3a4-4bda-42c1-a41b-511f250cd321";"Emaldo Power Store  Stand alone ";"N/A";;;;;"Inverter 10.8 kW capacity"
"deeade41-1b3a-42bc-a46b-6e9d4281ba8f";"EZOG-LV";"N/A";;;;;"This model only supports off grid+PV systems"
"5b91881a-8cdf-4c49-840e-e72851765ef6";"GIV-3HY-11.0-HV";"N/A";;;;;"11kw 3 Phase Hybrid Inverter"
